No,Title,Date,Image URL
"60","DPR Pastikan Stok Bensin Selama Ramadhan Aman","28 Februari 2025","https://asset.kompas.com/crops/WXQQKEaWat-eiSPsdg3FROup_gE=/0x0:730x486/235x132/data/photo/2024/04/10/6615fae7c3a5b.jpg"
"61","Retreat Kepala Daerah Dilaporkan ke KPK, Singgung PT Lembah Tidar","28 Februari 2025","https://asset.kompas.com/crops/mnhxLSEIVknVvnR0jJ5mqS3JP8Y=/0x0:1000x667/235x132/data/photo/2025/02/21/67b8984a38cd9.jpg"
"62","Bareskrim: Tersangka Pemalsuan Sertifikat Area Pagar Laut Tangerang Mungkin Bertambah","28 Februari 2025","https://asset.kompas.com/crops/ml3CNuZGkP9dxsOERKlfocsZU58=/0x0:0x0/235x132/data/photo/2025/02/28/67c179c62c091.jpg"
"63","Pertamina Raih Platinum Winner dan Boyong 66 Penghargaan di Ajang PR Indonesia Award 2025","28 Februari 2025","https://asset.kompas.com/crops/aeH3WulKvD3c3jbOsaN1WIavJ9Y=/0x0:1776x1184/235x132/data/photo/2025/02/28/67c186ca86b61.jpeg"
"64","Pertamina-Kejagung Saling Bantah Isu Pertamax Oplosan, DPR: Biarkan Proses Hukum Berjalan","28 Februari 2025","https://asset.kompas.com/crops/vViAg1tG7o7MllzdQ2qbptLVSZ0=/0x0:0x0/235x132/data/photo/2024/12/12/675ab3723d48b.jpg"
"65","Bareskrim Sudah Identifikasi Calon Tersangka Kasus Pagar Laut Bekasi","28 Februari 2025","https://asset.kompas.com/crops/UfBrb8cTxIKtL1nYIL08F4yCPaU=/0x0:0x0/235x132/data/photo/2025/02/11/67aaf124c4c95.jpg"
"66","Menag: Ramadhan di Indonesia Paling Indah, Tak Ada Senjata Berkeliaran","28 Februari 2025","https://asset.kompas.com/crops/RFQhxQ4tBGIQtGDKfOuo6hM6KAQ=/0x0:0x0/235x132/data/photo/2025/02/28/67c17b2a34679.jpg"
"67","DPR Tetap Percayai Pertamina meski Diterpa Kasus Pertamax Oplosan","28 Februari 2025","https://asset.kompas.com/crops/vViAg1tG7o7MllzdQ2qbptLVSZ0=/0x0:0x0/235x132/data/photo/2024/12/12/675ab3723d48b.jpg"
"68","Menag: Awal Ramadhan 2025, Kemungkinan Bisa Sama dengan Muhammadiyah","28 Februari 2025","https://asset.kompas.com/crops/Tzto4bNakWG3FqXVqyWO-uFAz8w=/0x0:0x0/235x132/data/photo/2025/02/28/67c16a6be3d49.jpeg"
"69","Menag Usul Zakat Jadi Pengurang Pembayaran Pajak","28 Februari 2025","https://asset.kompas.com/crops/A3auRDCoH1uUDBx4mBDRUmX0yzY=/0x0:0x0/235x132/data/photo/2025/02/27/67c041f9edc75.jpeg"
"70","Bareskrim Temukan Unsur Pidana di Kasus Pagar Laut Desa Hurip Jaya Bekasi","28 Februari 2025","https://asset.kompas.com/crops/ml3CNuZGkP9dxsOERKlfocsZU58=/0x0:0x0/235x132/data/photo/2025/02/28/67c179c62c091.jpg"
"71","Kasus Dugaan Pemalsuan SHM Pagar Laut Bekasi Naik ke Penyidikan","28 Februari 2025","https://asset.kompas.com/crops/ml3CNuZGkP9dxsOERKlfocsZU58=/0x0:0x0/235x132/data/photo/2025/02/28/67c179c62c091.jpg"
"72","Evaluasi 8 Hari Retreat, Wamendagri: Jadwal Padat, Pemateri Terbatas, tapi Mengakrabkan Kepala Daerah","28 Februari 2025","https://asset.kompas.com/crops/L55q_QUppy7Sj5mMfQSQv2Dy0PM=/0x0:0x0/235x132/data/photo/2025/02/28/67c1644fa035f.jpg"
"73","Prabowo Siapkan Diskon Tiket Pesawat untuk Mudik Lebaran","28 Februari 2025","https://asset.kompas.com/crops/01cfr5jBYr1yTFuzq6ma2KUDeLw=/0x0:0x0/235x132/data/photo/2025/02/28/67c173e9e380a.jpg"
"74","Prabowo: Selamat Menjalankan Ibadah Puasa, Mohon Maaf Lahir dan Batin","28 Februari 2025","https://asset.kompas.com/crops/01cfr5jBYr1yTFuzq6ma2KUDeLw=/0x0:0x0/235x132/data/photo/2025/02/28/67c173e9e380a.jpg"
"75","ASN Kerja 5 Hari dalam Seminggu Selama Bulan Ramadhan","28 Februari 2025","https://asset.kompas.com/crops/DY5aBJ5Wozxj2vgZLjbMN6V-pKg=/95x0:1099x669/235x132/data/photo/2024/10/22/6717114d42274.jpg"
"76","Prabowo Pastikan Tarif Tol Turun pada Mudik Lebaran 2025","28 Februari 2025","https://asset.kompas.com/crops/gALuu8XflbkOzFmyMbuNfwKatyY=/0x0:0x0/235x132/data/photo/2025/02/28/67c1739727e2d.jpg"
